student_id,midterm,final,attendance_or_hw
1001.0,7.89,4.93,6.47
1002.0,6.79,5.53,9.76
1003.0,6.12,4.97,8.51
1004.0,8.53,4.49,7.34
1005.0,4.56,4.66,6.56
1006.0,6.46,6.53,9.18
1007.0,4.06,5.13,8.48
1008.0,6.34,6.0,8.13
1009.0,4.28,6.77,9.58
1010.0,4.59,7.8,9.15
1011.0,6.1,8.52,6.61
1012.0,7.25,8.4,7.25
1013.0,7.73,7.45,6.99
1014.0,6.92,4.45,8.98
1015.0,8.81,8.8,6.13
1016.0,5.87,9.06,8.28
1017.0,5.43,4.34,9.05
1018.0,8.34,5.52,9.51
1019.0,5.12,8.43,7.37
1020.0,8.82,8.12,9.29
1021.0,4.06,5.01,6.44
1022.0,8.85,5.15,9.39
1023.0,4.22,6.04,6.51
1024.0,8.46,6.66,7.59
1025.0,6.64,7.4,9.19
1026.0,9.93,7.46,6.6
1027.0,4.37,6.54,6.92
1028.0,6.77,8.11,8.89
1029.0,8.85,4.2,8.88
1030.0,6.62,5.39,8.56
1031.0,7.15,7.92,8.78
1032.0,7.48,8.92,8.17
1033.0,6.27,6.81,7.01
1034.0,7.14,6.93,7.38
1035.0,6.92,4.59,6.73
1036.0,8.51,6.46,9.63
1037.0,4.23,6.93,8.33
1038.0,5.4,5.33,7.6
1039.0,8.75,5.48,7.85
1040.0,8.45,6.08,9.79
1041.0,6.61,7.01,6.61
1042.0,7.1,5.77,8.34
1043.0,5.39,5.16,8.02
1044.0,4.94,5.8,8.45
1045.0,6.32,4.66,6.07
1046.0,5.77,8.9,9.49
1047.0,6.92,7.26,9.73
1048.0,4.39,7.74,8.26
1049.0,8.87,8.34,8.79
1050.0,8.93,6.74,9.69
1051.0,7.49,4.48,8.83
1052.0,6.68,6.95,6.61
1053.0,5.55,7.23,8.31
1054.0,8.07,8.1,8.43
1055.0,7.42,6.37,7.7
1056.0,4.81,4.7,8.95
1057.0,8.55,5.56,9.74
1058.0,8.11,6.0,9.7
1059.0,8.75,7.55,7.8
1060.0,7.63,7.14,6.45
1061.0,3.4400000000000004,4.02,9.94
1062.0,6.09,9.43,9.36
1063.0,8.66,7.33,6.5
1064.0,8.33,5.3,9.68
1065.0,4.23,4.56,9.48
1066.0,4.13,4.84,8.08
1067.0,5.88,5.35,8.37
1068.0,8.05,4.88,7.6
1069.0,8.94,5.03,6.22
1070.0,4.75,5.57,7.34
1071.0,6.97,4.95,9.21
1072.0,5.9,8.93,6.02
1073.0,8.85,4.44,7.33
1074.0,8.21,6.88,7.59
1075.0,8.19,6.26,8.15
1076.0,6.34,9.4,9.68
1077.0,6.07,4.62,7.39
1078.0,1.87,3.16,7.39
1079.0,4.28,9.33,8.95
1080.0,8.32,8.76,7.81
1081.0,8.06,8.49,6.9
1082.0,9.0,5.42,7.81
1083.0,8.98,4.94,6.56
1084.0,6.78,7.68,6.71
1085.0,7.84,9.11,7.99
1086.0,8.72,7.06,7.68
1087.0,8.25,7.14,9.66
1088.0,5.24,5.54,7.45
1089.0,6.25,8.23,8.32
1090.0,4.65,5.03,8.53
1091.0,8.77,5.78,6.05
1092.0,7.03,6.34,8.65
1093.0,5.14,6.79,6.71
1094.0,7.36,5.33,9.84
1095.0,7.09,4.63,6.59
1096.0,5.79,7.36,7.66
1097.0,4.57,5.59,6.34
1098.0,7.36,7.2,9.99
1099.0,6.6,4.85,8.01
1100.0,7.86,6.65,8.38
1101.0,6.6,6.93,6.27
1102.0,8.26,4.29,9.0
1103.0,6.76,5.85,6.84
1104.0,6.8,4.74,9.59
1105.0,8.38,4.35,6.82
1106.0,6.02,9.44,6.76
1107.0,4.67,5.77,6.15
1108.0,4.14,8.45,7.89
1109.0,7.78,5.4,8.26
1110.0,7.1,7.75,6.26
1111.0,2.95,4.38,9.1
1112.0,5.06,7.28,7.81
1113.0,4.68,6.59,8.1
1114.0,4.07,6.27,7.76
1115.0,5.75,5.92,7.6
1116.0,6.95,9.11,8.24
1117.0,5.96,8.57,6.62
1118.0,6.19,9.31,6.73
1119.0,8.52,4.68,9.45
1120.0,5.74,8.02,9.78
1121.0,6.57,9.16,7.49
1122.0,7.92,5.0,7.08
1123.0,5.98,4.37,8.58
1124.0,7.11,8.08,7.63
1125.0,8.31,7.16,6.1
1126.0,8.75,8.63,6.62
1127.0,4.74,4.77,8.86
1128.0,8.63,8.37,8.64
1129.0,6.46,5.11,6.11
1130.0,5.29,4.9,6.89
1131.0,6.3,4.9,6.92
1132.0,8.9,8.48,8.69
1133.0,6.46,7.66,6.08
1134.0,5.64,6.88,6.42
1135.0,7.17,5.97,9.2
1136.0,5.2,8.82,6.71
1137.0,4.38,6.16,8.61
1138.0,4.64,8.49,6.95
1139.0,4.64,6.42,6.4
1140.0,4.76,6.07,6.97
1141.0,4.69,6.54,8.89
1142.0,7.2,5.66,9.42
1143.0,4.91,8.11,9.32
1144.0,5.73,6.76,7.59
1145.0,8.48,5.28,8.67
1146.0,6.37,8.95,6.82
1147.0,7.34,6.11,7.17
1148.0,4.86,6.99,9.59
1149.0,4.96,8.99,6.05
1150.0,4.2,7.43,6.34
